,report,meta_info,href,category,sending_time
5278,Illegal parking on main road during rush hour,"09:41, 29 Nov 2012",https://www.fixmystreet.com/report/294479,"Reported in the Car parking category anonymously at 09:41, Thu 29 November 2012",Sent to Glasgow City Council 3 minutes later
5279,Street light not working,"09:44, 29 Nov 2012",https://www.fixmystreet.com/report/294477,"Reported in the Street lighting category by Gillian Kerr at 09:44, Thu 29 November 2012",Sent to Glasgow City Council 1 minute later
5280,Flytipping,"10:15, 29 Nov 2012, last updated 12:03, 25 Jan 2013",https://www.fixmystreet.com/report/294494,"Reported in the Flytipping category anonymously at 10:15, Thu 29 November 2012",Sent to Glasgow City Council 5 minutes later
5281,20 When Light Flash. Not Operating.,"13:01, 29 Nov 2012, last updated 17:24, 23 Feb 2014",https://www.fixmystreet.com/report/294567,"Reported in the Traffic lights category anonymously at 13:01, Thu 29 November 2012",Sent to Glasgow City Council 4 minutes later
5282,Broken path light,"18:50, 29 Nov 2012",https://www.fixmystreet.com/report/294570,"Reported in the Street lighting category anonymously at 18:50, Thu 29 November 2012",Sent to Glasgow City Council less than a minute later
5283,Refuge bins ignored again,"Fixed 19:06, 29 Nov 2012, last updated 19:17, 6 Jan 2013",https://www.fixmystreet.com/report/294675,"Reported in the Rubbish (refuse and recycling) category anonymously at 19:06, Thu 29 November 2012",Sent to Glasgow City Council 3 minutes later
5284,Unlifted leaves.,"20:00, 29 Nov 2012",https://www.fixmystreet.com/report/294696,"Reported in the Pavements/footpaths category by Margaret Macdonald at 20:00, Thu 29 November 2012",Sent to Glasgow City Council 4 minutes later
5285,Broken road,"10:58, 30 Nov 2012, last updated 00:27, 21 Jan 2013",https://www.fixmystreet.com/report/294816,"Reported in the Potholes category anonymously at 10:58, Fri 30 November 2012",Sent to Glasgow City Council 1 minute later
5286,Road around manhole covers collapsing,"15:38, 30 Nov 2012",https://www.fixmystreet.com/report/294876,"Reported in the Potholes category anonymously at 15:38, Fri 30 November 2012",Sent to Glasgow City Council 2 minutes later
5287,Collection of potholes,"15:39, 30 Nov 2012",https://www.fixmystreet.com/report/294877,"Reported in the Potholes category anonymously at 15:39, Fri 30 November 2012",Sent to Glasgow City Council less than a minute later
5288,Extreme amounts of litter - bins full,"17:50, 30 Nov 2012",https://www.fixmystreet.com/report/294924,"Reported in the Street cleaning category anonymously at 17:50, Fri 30 November 2012",Sent to Glasgow City Council less than a minute later
5289,Flytipping and littered street,"17:53, 30 Nov 2012",https://www.fixmystreet.com/report/294926,"Reported in the Flytipping category anonymously at 17:53, Fri 30 November 2012",Sent to Glasgow City Council 1 minute later
5290,Numerous insanely large potholes!,"Fixed 21:14, 30 Nov 2012, last updated 15:10, 20 Dec 2012",https://www.fixmystreet.com/report/294953,"Reported in the Potholes category anonymously at 21:14, Fri 30 November 2012",Sent to Glasgow City Council 1 minute later
5291,Dog Fouling / litter - Lack of Bins at grass verge,"Fixed 11:14, 1 Dec 2012, last updated 12:39, 26 Dec 2012",https://www.fixmystreet.com/report/295003,"Reported in the Dog fouling category anonymously at 11:14, Sat  1 December 2012",Sent to Glasgow City Council less than a minute later
5292,Hazards on this road,"Fixed 11:24, 1 Dec 2012, last updated 20:25, 12 May 2015",https://www.fixmystreet.com/report/295005,"Reported in the Flytipping category anonymously at 11:24, Sat  1 December 2012",Sent to Glasgow City Council 1 minute later
5293,Five or six pot holes now getting large as they are all at the on part of the road at the junction between Crompton and Elmore Avenue.,"Fixed 12:16, 1 Dec 2012, last updated 18:08, 24 Jun 2015",https://www.fixmystreet.com/report/295028,"Reported in the Potholes category anonymously at 12:16, Sat  1 December 2012",Sent to Glasgow City Council 4 minutes later
5294,Dog Fouling,"13:03, 1 Dec 2012, last updated 21:56, 26 Jan 2013",https://www.fixmystreet.com/report/295049,"Reported in the Dog fouling category anonymously at 13:03, Sat  1 December 2012",Sent to Glasgow City Council 1 minute later
5295,Ice and lots of it,"Fixed 13:15, 1 Dec 2012, last updated 00:05, 7 Dec 2012",https://www.fixmystreet.com/report/295051,"Reported anonymously at 13:15, Sat  1 December 2012",Sent to Glasgow City Council 5 minutes later
5296,Large pothole,"16:49, 1 Dec 2012, last updated 17:11, 11 Jan 2013",https://www.fixmystreet.com/report/295083,"Reported in the Potholes category by Esther Dallinger at 16:49, Sat  1 December 2012",Sent to Glasgow City Council 1 minute later
5297,Roads not gritted,"18:10, 1 Dec 2012",https://www.fixmystreet.com/report/295098,"Reported in the Pavements/footpaths category anonymously at 18:10, Sat  1 December 2012",Sent to Glasgow City Council 5 minutes later
5298,Icy Roads & Pavements,"20:23, 1 Dec 2012",https://www.fixmystreet.com/report/295120,"Reported in the Roads/highways category anonymously at 20:23, Sat  1 December 2012",Sent to Glasgow City Council 1 minute later
5299,Deep pothole,"Fixed 15:09, 2 Dec 2012, last updated 20:30, 29 Jan 2013",https://www.fixmystreet.com/report/295210,"Reported in the Potholes category anonymously at 15:09, Sun  2 December 2012",Sent to Glasgow City Council 1 minute later
5300,Pothole,"Fixed 15:11, 2 Dec 2012, last updated 20:25, 29 Jan 2013",https://www.fixmystreet.com/report/295211,"Reported in the Potholes category anonymously at 15:11, Sun  2 December 2012",Sent to Glasgow City Council 4 minutes later
5301,Street lights,"Fixed 15:12, 2 Dec 2012, last updated 19:26, 1 Jan 2013",https://www.fixmystreet.com/report/295213,"Reported in the Street lighting category anonymously at 15:12, Sun  2 December 2012",Sent to Glasgow City Council 3 minutes later
5302,Potholes,"Fixed 15:51, 2 Dec 2012, last updated 17:32, 23 Apr 2013",https://www.fixmystreet.com/report/295225,"Reported in the Potholes category anonymously at 15:51, Sun  2 December 2012",Sent to Glasgow City Council 4 minutes later
5303,Flytipping,"19:45, 2 Dec 2012",https://www.fixmystreet.com/report/295288,"Reported in the Flytipping category anonymously at 19:45, Sun  2 December 2012",Sent to Glasgow City Council 4 minutes later
5304,No grit,"08:22, 3 Dec 2012",https://www.fixmystreet.com/report/295344,"Reported in the Pavements/footpaths category by Eilidh Pattison at 08:22, Mon  3 December 2012",Sent to Glasgow City Council 3 minutes later
5305,Roads not gritted at least 3 RTA's over 24 hours,"12:45, 3 Dec 2012",https://www.fixmystreet.com/report/295431,"Reported anonymously at 12:45, Mon  3 December 2012",Sent to Glasgow City Council 5 minutes later
5306,Middle of road full of holes,"15:51, 3 Dec 2012",https://www.fixmystreet.com/report/295492,"Reported in the Potholes category anonymously at 15:51, Mon  3 December 2012",Sent to Glasgow City Council 3 minutes later
5307,Manhole cover,"Fixed 18:54, 3 Dec 2012, last updated 11:32, 27 May 2013",https://www.fixmystreet.com/report/295548,"Reported in the Roads/highways category anonymously at 18:54, Mon  3 December 2012",Sent to Glasgow City Council 1 minute later
5308,Pot holes x 3 down to the cobble stones,"21:16, 3 Dec 2012",https://www.fixmystreet.com/report/295596,"Reported in the Potholes category anonymously at 21:16, Mon  3 December 2012",Sent to Glasgow City Council 4 minutes later
5309,Salt bucket,"09:32, 4 Dec 2012, last updated 12:30, 29 Dec 2014",https://www.fixmystreet.com/report/295662,"Reported by Stacey Wright at 09:32, Tue  4 December 2012",Sent to Glasgow City Council 3 minutes later
5310,Non gritted road,"09:34, 4 Dec 2012, last updated 21:10, 4 Dec 2012",https://www.fixmystreet.com/report/295664,"Reported in the Roads/highways category by Stacey Wright at 09:34, Tue  4 December 2012",Sent to Glasgow City Council 1 minute later
5311,Speed Bump Royston Road,"Fixed 14:02, 4 Dec 2012, last updated 09:04, 24 Jan 2018",https://www.fixmystreet.com/report/295760,"Reported in the Roads/highways category by David Grant at 14:02, Tue  4 December 2012",Sent to Glasgow City Council 3 minutes later
5312,Stray dog fouling in the area,"22:35, 4 Dec 2012, last updated 07:59, 6 Apr 2013",https://www.fixmystreet.com/report/295886,"Reported in the Dog fouling category anonymously at 22:35, Tue  4 December 2012",Sent to Glasgow City Council 5 minutes later
5313,Dog Fouling,"00:04, 5 Dec 2012",https://www.fixmystreet.com/report/295899,"Reported in the Dog fouling category by Sally Stimson at 00:04, Wed  5 December 2012",Sent to Glasgow City Council 1 minute later
5314,Icy Pavement and Road,"Fixed 09:49, 5 Dec 2012, last updated 15:00, 12 Dec 2012",https://www.fixmystreet.com/report/295935,"Reported in the Pavements/footpaths category by Mr White at 09:49, Wed  5 December 2012",Sent to Glasgow City Council 1 minute later
5315,Sheet ice,"Fixed 16:11, 5 Dec 2012, last updated 16:34, 2 Jan 2013",https://www.fixmystreet.com/report/296052,"Reported in the Pavements/footpaths category anonymously at 16:11, Wed  5 December 2012

;(there is no pin shown as the user did not use the map)",Sent to Glasgow City Council 3 minutes later
5316,Ice,"Fixed 09:16, 6 Dec 2012, last updated 10:26, 3 Jan 2013",https://www.fixmystreet.com/report/296170,"Reported in the Pavements/footpaths category anonymously at 09:16, Thu  6 December 2012",Sent to Glasgow City Council 4 minutes later
5317,Treacherous ice,"10:52, 6 Dec 2012, last updated 11:16, 3 Jan 2013",https://www.fixmystreet.com/report/296223,"Reported in the Roads/highways category anonymously at 10:52, Thu  6 December 2012",Sent to Glasgow City Council 3 minutes later
5318,Traffic Bollard,"Fixed 13:00, 6 Dec 2012, last updated 12:43, 18 Jan 2013",https://www.fixmystreet.com/report/296259,"Reported in the Pavements/footpaths category anonymously at 13:00, Thu  6 December 2012",Sent to Glasgow City Council 5 minutes later
5319,Graffiti all along mural,"16:49, 6 Dec 2012",https://www.fixmystreet.com/report/296326,"Reported in the Graffiti category anonymously at 16:49, Thu  6 December 2012",Sent to Glasgow City Council less than a minute later
5320,Collection of large holes,"22:28, 6 Dec 2012, last updated 23:05, 3 Jan 2013",https://www.fixmystreet.com/report/296409,"Reported in the Potholes category anonymously at 22:28, Thu  6 December 2012",Sent to Glasgow City Council 1 minute later
5321,Potholes at junction,"22:30, 6 Dec 2012, last updated 23:04, 3 Jan 2013",https://www.fixmystreet.com/report/296410,"Reported in the Potholes category anonymously at 22:30, Thu  6 December 2012",Sent to Glasgow City Council 5 minutes later
5322,Flytipping,"09:28, 7 Dec 2012",https://www.fixmystreet.com/report/296458,"Reported in the Rubbish (refuse and recycling) category anonymously at 09:28, Fri  7 December 2012",Sent to Glasgow City Council 2 minutes later
5323,Begging,"13:07, 7 Dec 2012",https://www.fixmystreet.com/report/296527,"Reported anonymously at 13:07, Fri  7 December 2012",Sent to Glasgow City Council 3 minutes later
5324,Begging,"Fixed 13:11, 7 Dec 2012, last updated 14:16, 4 Jan 2013",https://www.fixmystreet.com/report/296531,"Reported anonymously at 13:11, Fri  7 December 2012",Sent to Glasgow City Council 3 minutes later
5325,Begging,"Fixed 13:14, 7 Dec 2012, last updated 14:11, 4 Jan 2013",https://www.fixmystreet.com/report/296532,"Reported anonymously at 13:14, Fri  7 December 2012",Sent to Glasgow City Council 1 minute later
5326,Begging,"Fixed 13:15, 7 Dec 2012, last updated 14:15, 4 Jan 2013",https://www.fixmystreet.com/report/296534,"Reported anonymously at 13:15, Fri  7 December 2012",Sent to Glasgow City Council 5 minutes later
5327,Begging,"13:17, 7 Dec 2012, last updated 14:15, 4 Jan 2013",https://www.fixmystreet.com/report/296536,"Reported anonymously at 13:17, Fri  7 December 2012",Sent to Glasgow City Council 3 minutes later
5328,Begging,"Fixed 13:18, 7 Dec 2012, last updated 14:12, 4 Jan 2013",https://www.fixmystreet.com/report/296537,"Reported anonymously at 13:18, Fri  7 December 2012",Sent to Glasgow City Council 2 minutes later
5329,Begging,"Fixed 13:19, 7 Dec 2012, last updated 14:15, 4 Jan 2013",https://www.fixmystreet.com/report/296538,"Reported anonymously at 13:19, Fri  7 December 2012",Sent to Glasgow City Council 1 minute later
5330,Pavement,"13:31, 7 Dec 2012, last updated 14:17, 4 Jan 2013",https://www.fixmystreet.com/report/296543,"Reported in the Pavements/footpaths category anonymously at 13:31, Fri  7 December 2012",Sent to Glasgow City Council 4 minutes later
5331,Dog Fouling,"13:37, 7 Dec 2012",https://www.fixmystreet.com/report/296546,"Reported in the Dog fouling category anonymously at 13:37, Fri  7 December 2012",Sent to Glasgow City Council 2 minutes later
5332,Large pothole attempted fix city bound A82 near Anniesland Cross,"14:19, 7 Dec 2012, last updated 14:30, 22 Mar 2014",https://www.fixmystreet.com/report/296556,"Reported in the Potholes category by Glasgow Motorcycle Action Group at 14:19, Fri  7 December 2012",Sent to Glasgow City Council less than a minute later
5333,Pot hole / crater,"14:36, 7 Dec 2012, last updated 13:20, 29 Dec 2012",https://www.fixmystreet.com/report/296562,"Reported in the Potholes category anonymously at 14:36, Fri  7 December 2012",Sent to Glasgow City Council 3 minutes later
5334,Grit,"Fixed 17:08, 7 Dec 2012, last updated 12:05, 9 Dec 2012",https://www.fixmystreet.com/report/296591,"Reported in the Pavements/footpaths category by Cheryl mccraw at 17:08, Fri  7 December 2012",Sent to Glasgow City Council 1 minute later
5335,Pot hole,"18:24, 7 Dec 2012",https://www.fixmystreet.com/report/296602,"Reported in the Potholes category by barry strain at 18:24, Fri  7 December 2012",Sent to Glasgow City Council less than a minute later
5336,Deep pothole re-ocurrance,"20:02, 7 Dec 2012, last updated 20:31, 23 Dec 2012",https://www.fixmystreet.com/report/296625,"Reported in the Potholes category by kenny scott at 20:02, Fri  7 December 2012",Sent to Glasgow City Council 3 minutes later
5337,Large pothole,"20:09, 7 Dec 2012",https://www.fixmystreet.com/report/296626,"Reported in the Potholes category by kenny scott at 20:09, Fri  7 December 2012",Sent to Glasgow City Council 1 minute later
5338,Potholes,"20:17, 7 Dec 2012",https://www.fixmystreet.com/report/296627,"Reported in the Potholes category by kenny scott at 20:17, Fri  7 December 2012",Sent to Glasgow City Council 2 minutes later
5339,Separation road sign missing,"13:31, 8 Dec 2012, last updated 12:20, 26 Dec 2012",https://www.fixmystreet.com/report/296710,"Reported in the Road traffic signs category by gordon longmuir at 13:31, Sat  8 December 2012",Sent to Glasgow City Council 4 minutes later
5340,Large pothole,"14:40, 8 Dec 2012",https://www.fixmystreet.com/report/296718,"Reported in the Potholes category by Stuart Weatherley at 14:40, Sat  8 December 2012",Sent to Glasgow City Council 4 minutes later
5341,Street Lighting,"Fixed 23:35, 8 Dec 2012, last updated 08:32, 6 Jan 2013",https://www.fixmystreet.com/report/296817,"Reported in the Street lighting category anonymously at 23:35, Sat  8 December 2012",Sent to Glasgow City Council 4 minutes later
5342,Large hole,"Fixed 12:36, 9 Dec 2012, last updated 18:17, 13 Dec 2012",https://www.fixmystreet.com/report/296858,"Reported in the Potholes category anonymously at 12:36, Sun  9 December 2012",Sent to Glasgow City Council 4 minutes later
5343,Broken light,"Fixed 17:33, 9 Dec 2012, last updated 11:35, 6 Jan 2013",https://www.fixmystreet.com/report/296914,"Reported in the Street lighting category anonymously at 17:33, Sun  9 December 2012",Sent to Glasgow City Council 1 minute later
5344,Manhole cover broken on pedestrian crossing,"Fixed 09:58, 10 Dec 2012, last updated 15:45, 20 Dec 2012",https://www.fixmystreet.com/report/297032,"Reported in the Potholes category anonymously at 09:58, Mon 10 December 2012",Sent to Glasgow City Council 2 minutes later
5345,Pothole in cycle lane,"Fixed 09:58, 10 Dec 2012, last updated 11:39, 7 Jan 2013",https://www.fixmystreet.com/report/297033,"Reported in the Potholes category by Jonathan McKendry at 09:58, Mon 10 December 2012",Sent to Glasgow City Council 2 minutes later
5346,"Dog Fouling, dog left to wander","Fixed 16:37, 10 Dec 2012, last updated 17:14, 7 Jan 2013",https://www.fixmystreet.com/report/297138,"Reported in the Dog fouling category anonymously at 16:37, Mon 10 December 2012",Sent to Glasgow City Council 3 minutes later
5347,Street light not working,"Fixed 02:09, 11 Dec 2012, last updated 15:21, 4 Feb 2013",https://www.fixmystreet.com/report/297279,"Reported in the Street lighting category anonymously at 02:09, Tue 11 December 2012",Sent to Glasgow City Council less than a minute later
5348,Multiple potholes,"20:12, 11 Dec 2012",https://www.fixmystreet.com/report/297229,"Reported in the Potholes category anonymously at 20:12, Tue 11 December 2012",Sent to Glasgow City Council 2 minutes later
5349,Green wheelie bin,"Fixed 09:50, 12 Dec 2012, last updated 11:42, 9 Jan 2013",https://www.fixmystreet.com/report/297574,"Reported in the Rubbish (refuse and recycling) category by ALEX MELROSE at 09:50, Wed 12 December 2012",Sent to Glasgow City Council 5 minutes later
5350,Lack of Road markings,"10:34, 12 Dec 2012, last updated 11:33, 9 Jan 2013",https://www.fixmystreet.com/report/297589,"Reported in the Roads/highways category by Bryan Nolan at 10:34, Wed 12 December 2012",Sent to Glasgow City Council 1 minute later
5351,Grass,"14:23, 12 Dec 2012",https://www.fixmystreet.com/report/297648,"Reported in the Pavements/footpaths category anonymously at 14:23, Wed 12 December 2012",Sent to Glasgow City Council 1 minute later
5352,Dog fouling,"Fixed 15:02, 12 Dec 2012, last updated 21:52, 9 Jan 2013",https://www.fixmystreet.com/report/297645,"Reported in the Dog fouling category anonymously at 15:02, Wed 12 December 2012",Sent to Glasgow City Council 2 minutes later
5353,Giant Pot Hole in Road Carriageway,"18:28, 12 Dec 2012",https://www.fixmystreet.com/report/297697,"Reported in the Potholes category anonymously at 18:28, Wed 12 December 2012",Sent to Glasgow City Council 1 minute later
5354,Pot holes in Hard Gate Road Govan Glasgow,"14:16, 13 Dec 2012, last updated 14:43, 1 Mar 2013",https://www.fixmystreet.com/report/297829,"Reported in the Potholes category by John Fox at 14:16, Thu 13 December 2012",Sent to Glasgow City Council 4 minutes later
5355,Pot Hole through surface asphalt,"Fixed 20:48, 13 Dec 2012, last updated 11:12, 21 Feb 2013",https://www.fixmystreet.com/report/297915,"Reported in the Potholes category by Gordon Longmuir at 20:48, Thu 13 December 2012",Sent to Glasgow City Council 2 minutes later
5356,Large pothole at the edge of the road,"12:06, 14 Dec 2012, last updated 20:13, 8 Feb 2013",https://www.fixmystreet.com/report/298002,"Reported in the Potholes category anonymously at 12:06, Fri 14 December 2012",Sent to Glasgow City Council 4 minutes later
5357,Lighting fault,"14:24, 14 Dec 2012",https://www.fixmystreet.com/report/298055,"Reported in the Street lighting category anonymously at 14:24, Fri 14 December 2012",Sent to Glasgow City Council 1 minute later
5358,Pothole,"16:46, 14 Dec 2012, last updated 17:10, 11 Jan 2013",https://www.fixmystreet.com/report/298081,"Reported in the Potholes category by Esther Dallinger at 16:46, Fri 14 December 2012",Sent to Glasgow City Council 4 minutes later
5359,Pothole,"16:47, 14 Dec 2012, last updated 17:09, 11 Jan 2013",https://www.fixmystreet.com/report/298082,"Reported in the Potholes category by Esther Dallinger at 16:47, Fri 14 December 2012",Sent to Glasgow City Council 3 minutes later
5360,Potholes,"16:49, 14 Dec 2012, last updated 17:09, 11 Jan 2013",https://www.fixmystreet.com/report/298083,"Reported in the Potholes category by Esther Dallinger at 16:49, Fri 14 December 2012",Sent to Glasgow City Council 1 minute later
5361,Street cleaning,"Fixed 19:14, 15 Dec 2012, last updated 20:21, 14 Feb 2013",https://www.fixmystreet.com/report/298279,"Reported in the Dog fouling category anonymously at 19:14, Sat 15 December 2012",Sent to Glasgow City Council 1 minute later
5362,Pothole (s),"16:31, 16 Dec 2012, last updated 08:42, 16 Jan 2013",https://www.fixmystreet.com/report/298420,"Reported in the Roads/highways category anonymously at 16:31, Sun 16 December 2012",Sent to Glasgow City Council 4 minutes later
5363,Potholes/exposed steel,"Fixed 16:38, 16 Dec 2012, last updated 21:35, 22 Feb 2013",https://www.fixmystreet.com/report/298424,"Reported in the Potholes category anonymously at 16:38, Sun 16 December 2012",Sent to Glasgow City Council 1 minute later
5364,Pothole,"16:47, 16 Dec 2012",https://www.fixmystreet.com/report/298429,"Reported in the Roads/highways category anonymously at 16:47, Sun 16 December 2012",Sent to Glasgow City Council 2 minutes later
5365,Dangerous potholes,"10:12, 17 Dec 2012",https://www.fixmystreet.com/report/298576,"Reported in the Potholes category by Chris Bull at 10:12, Mon 17 December 2012",Sent to Glasgow City Council 2 minutes later
5366,Massive holes in middle of pendeen road,"11:18, 17 Dec 2012, last updated 16:16, 8 Mar 2013",https://www.fixmystreet.com/report/298606,"Reported in the Potholes category anonymously at 11:18, Mon 17 December 2012",Sent to Glasgow City Council 1 minute later
5367,Potholes,"11:20, 17 Dec 2012",https://www.fixmystreet.com/report/298607,"Reported in the Potholes category anonymously at 11:20, Mon 17 December 2012",Sent to Glasgow City Council 5 minutes later
5368,Turning point on Edinburgh rd full of holes,"11:27, 17 Dec 2012",https://www.fixmystreet.com/report/298610,"Reported in the Roads/highways category anonymously at 11:27, Mon 17 December 2012",Sent to Glasgow City Council 3 minutes later
5369,Uneven road on bartibeith road,"11:29, 17 Dec 2012",https://www.fixmystreet.com/report/298613,"Reported in the Roads/highways category anonymously at 11:29, Mon 17 December 2012",Sent to Glasgow City Council 1 minute later
5370,Dog Fouling due to no Litter Bin,"Fixed 12:39, 17 Dec 2012, last updated 21:18, 18 Dec 2012",https://www.fixmystreet.com/report/298637,"Reported in the Dog fouling category anonymously at 12:39, Mon 17 December 2012",Sent to Glasgow City Council less than a minute later
5371,Blue Bins Not Emptied,"Fixed 18:31, 17 Dec 2012, last updated 19:19, 25 Dec 2012",https://www.fixmystreet.com/report/298777,"Reported in the Rubbish (refuse and recycling) category by Danny Gallagher at 18:31, Mon 17 December 2012",Sent to Glasgow City Council 4 minutes later
5372,Pothole,"Fixed 23:18, 17 Dec 2012, last updated 23:51, 20 Dec 2012",https://www.fixmystreet.com/report/298670,"Reported in the Potholes category by Robert Cunningham at 23:18, Mon 17 December 2012",Sent to Glasgow City Council 2 minutes later
5373,Traffic light out,"10:11, 18 Dec 2012",https://www.fixmystreet.com/report/298938,"Reported via StreetReport iPhone in the Traffic lights category anonymously at 10:11, Tue 18 December 2012",Sent to Glasgow City Council 4 minutes later
5374,Street Light Not Working,"Fixed 17:59, 18 Dec 2012, last updated 21:25, 15 Jan 2013",https://www.fixmystreet.com/report/299124,"Reported in the Street lighting category anonymously at 17:59, Tue 18 December 2012",Sent to Glasgow City Council 1 minute later
5375,Potholes,"22:00, 18 Dec 2012, last updated 10:13, 22 Jan 2013",https://www.fixmystreet.com/report/299204,"Reported in the Potholes category anonymously at 22:00, Tue 18 December 2012",Sent to Glasgow City Council 4 minutes later
5376,Badly uneven road,"22:29, 18 Dec 2012",https://www.fixmystreet.com/report/299209,"Reported in the Potholes category anonymously at 22:29, Tue 18 December 2012",Sent to Glasgow City Council 1 minute later
5377,Lamposts Not Working x 2,"08:44, 19 Dec 2012, last updated 12:31, 18 Mar 2013",https://www.fixmystreet.com/report/299244,"Reported in the Street lighting category anonymously at 08:44, Wed 19 December 2012",Sent to Glasgow City Council 1 minute later
5378,Street Lighting,"Fixed 16:49, 19 Dec 2012, last updated 12:34, 18 Jan 2013",https://www.fixmystreet.com/report/299445,"Reported in the Street lighting category anonymously at 16:49, Wed 19 December 2012",Sent to Glasgow City Council 1 minute later
5379,Large & deep pothole,"23:46, 19 Dec 2012",https://www.fixmystreet.com/report/299561,"Reported in the Potholes category anonymously at 23:46, Wed 19 December 2012",Sent to Glasgow City Council 3 minutes later
5380,Broken traffic island,"14:14, 20 Dec 2012, last updated 09:07, 18 Jan 2013",https://www.fixmystreet.com/report/299753,"Reported in the Road traffic signs category anonymously at 14:14, Thu 20 December 2012",Sent to Glasgow City Council less than a minute later
5381,Broken red traffic light,"Fixed 15:44, 20 Dec 2012, last updated 11:39, 7 Jan 2013",https://www.fixmystreet.com/report/299784,"Reported in the Traffic lights category anonymously at 15:44, Thu 20 December 2012",Sent to Glasgow City Council 1 minute later
5382,"Faded ""No Entry"" signs at Scott Street","15:50, 20 Dec 2012, last updated 16:27, 17 Jan 2013",https://www.fixmystreet.com/report/299786,"Reported in the Road traffic signs category anonymously at 15:50, Thu 20 December 2012",Sent to Glasgow City Council 5 minutes later
5383,Blocking road,"Fixed 16:39, 20 Dec 2012, last updated 22:35, 17 Jan 2013",https://www.fixmystreet.com/report/299799,"Reported in the Roads/highways category anonymously at 16:39, Thu 20 December 2012",Sent to Glasgow City Council 1 minute later
5384,Disgraceful - Potholes.,"17:41, 20 Dec 2012",https://www.fixmystreet.com/report/299818,"Reported in the Potholes category by D. Hardie at 17:41, Thu 20 December 2012",Sent to Glasgow City Council 4 minutes later
5385,Flooding,"23:51, 20 Dec 2012",https://www.fixmystreet.com/report/299725,"Reported by Robert Cunningham at 23:51, Thu 20 December 2012",Sent to Glasgow City Council 3 minutes later
5386,Pothole,"15:34, 22 Dec 2012, last updated 18:12, 19 Jan 2013",https://www.fixmystreet.com/report/300250,"Reported in the Potholes category anonymously at 15:34, Sat 22 December 2012",Sent to Glasgow City Council 1 minute later
5387,Pothole,"Fixed 16:49, 22 Dec 2012, last updated 06:41, 11 Jan 2013",https://www.fixmystreet.com/report/300274,"Reported in the Potholes category anonymously at 16:49, Sat 22 December 2012",Sent to Glasgow City Council less than a minute later
5388,Large pothole,"10:18, 23 Dec 2012",https://www.fixmystreet.com/report/300385,"Reported in the Potholes category anonymously at 10:18, Sun 23 December 2012",Sent to Glasgow City Council 2 minutes later
5389,Loss of road surface,"10:20, 23 Dec 2012",https://www.fixmystreet.com/report/300386,"Reported in the Potholes category anonymously at 10:20, Sun 23 December 2012",Sent to Glasgow City Council 5 minutes later
5390,Dangerous loss of road surface,"10:22, 23 Dec 2012",https://www.fixmystreet.com/report/300387,"Reported in the Potholes category anonymously at 10:22, Sun 23 December 2012",Sent to Glasgow City Council 3 minutes later
5391,Numerous potholes,"10:24, 23 Dec 2012, last updated 16:43, 20 Jan 2013",https://www.fixmystreet.com/report/300390,"Reported in the Potholes category anonymously at 10:24, Sun 23 December 2012",Sent to Glasgow City Council 1 minute later
5392,Pothole M8 Tradeston off-ramp,"Fixed 09:54, 24 Dec 2012, last updated 10:24, 28 Jan 2013",https://www.fixmystreet.com/report/300662,"Reported in the Potholes category by David Grant at 09:54, Mon 24 December 2012",Sent to Glasgow City Council 1 minute later
5393,"Pothole, Kilbirnie Street","Fixed 09:56, 24 Dec 2012, last updated 13:36, 18 Jan 2013",https://www.fixmystreet.com/report/300663,"Reported in the Potholes category by David Grant at 09:56, Mon 24 December 2012",Sent to Glasgow City Council 4 minutes later
5394,Springburn road cundies,"Fixed 10:04, 24 Dec 2012, last updated 08:45, 7 Jan 2013",https://www.fixmystreet.com/report/300665,"Reported in the Roads/highways category by David Grant at 10:04, Mon 24 December 2012",Sent to Glasgow City Council 1 minute later
5395,Pothole!!!,"Fixed 12:51, 24 Dec 2012, last updated 15:23, 5 Jan 2013",https://www.fixmystreet.com/report/300730,"Reported in the Potholes category by Andrew MacLeod at 12:51, Mon 24 December 2012",Sent to Glasgow City Council 4 minutes later
5396,Crumbling Road,"12:55, 24 Dec 2012, last updated 13:30, 21 Jan 2013",https://www.fixmystreet.com/report/300733,"Reported in the Potholes category by Andrew MacLeod at 12:55, Mon 24 December 2012",Sent to Glasgow City Council 5 minutes later
5397,Pothole,"18:56, 24 Dec 2012",https://www.fixmystreet.com/report/300809,"Reported in the Potholes category anonymously at 18:56, Mon 24 December 2012",Sent to Glasgow City Council 4 minutes later
5398,Friars Place potholes,"17:14, 25 Dec 2012, last updated 00:59, 15 Nov 2015",https://www.fixmystreet.com/report/300882,"Reported in the Potholes category by Jackie Graham at 17:14, Tue 25 December 2012",Sent to Glasgow City Council 1 minute later
5399,Pothole,"02:56, 26 Dec 2012, last updated 20:41, 2 Feb 2013",https://www.fixmystreet.com/report/300922,"Reported in the Potholes category anonymously at 02:56, Wed 26 December 2012",Sent to Glasgow City Council 4 minutes later
5400,Multiple Potholes,"08:55, 26 Dec 2012",https://www.fixmystreet.com/report/300930,"Reported in the Potholes category by R Lyall at 08:55, Wed 26 December 2012",Sent to Glasgow City Council less than a minute later
5401,Huge pothole,"11:54, 26 Dec 2012",https://www.fixmystreet.com/report/300951,"Reported in the Potholes category anonymously at 11:54, Wed 26 December 2012",Sent to Glasgow City Council 1 minute later
